Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2025-11-11,990.0,965.0,965.0,965.0,964.9426879882812,1516,ABOU.TA,yfinance
2025-11-12,965.0,965.0,965.0,965.0,964.9426879882812,500,ABOU.TA,yfinance
2025-11-13,965.0,975.0,975.0,975.0,974.942138671875,1000,ABOU.TA,yfinance
2025-11-17,1.0,800.0,800.0,800.0,799.9525146484375,700,ABOU.TA,yfinance
2025-11-18,818.0,818.0,818.0,818.0,817.951416015625,5278,ABOU.TA,yfinance
2025-11-19,818.0,820.0,820.0,820.0,819.9512939453125,480,ABOU.TA,yfinance
2025-11-20,820.0,800.0,800.0,800.0,799.9525146484375,2652,ABOU.TA,yfinance
2025-11-24,801.5,768.0,768.0,768.0,767.9544067382812,10000,ABOU.TA,yfinance
2025-11-25,801.5,801.5,768.0,768.0,767.9544067382812,12007,ABOU.TA,yfinance
2025-11-26,768.0,768.0,768.0,768.0,767.9544067382812,60000,ABOU.TA,yfinance
2025-11-27,768.0,768.0,768.0,768.0,767.9544067382812,1000,ABOU.TA,yfinance
2025-12-01,725.0,766.0,766.0,766.0,765.9545288085938,4700,ABOU.TA,yfinance
2025-12-02,766.0,768.0,768.0,768.0,767.9544067382812,14416,ABOU.TA,yfinance
2025-12-09,768.0,740.0,740.0,740.0,739.9560546875,3500,ABOU.TA,yfinance
2025-12-10,740.0,759.9000244140625,759.9000244140625,759.9000244140625,759.8549194335938,15390,ABOU.TA,yfinance
2025-12-22,795.5999755859375,795.5999755859375,795.5999755859375,795.5999755859375,795.552734375,628,ABOU.TA,yfinance
2025-12-23,795.5999755859375,795.5999755859375,795.5999755859375,795.5999755859375,795.552734375,300,ABOU.TA,yfinance
2025-12-25,795.5999755859375,710.0,710.0,710.0,709.9578247070312,5460,ABOU.TA,yfinance
2025-12-29,710.0,759.0,759.0,759.0,758.9549560546875,15000,ABOU.TA,yfinance
2025-12-30,760.0,768.0,760.0,767.7999877929688,767.75439453125,14459,ABOU.TA,yfinance
2025-12-31,730.0,764.7000122070312,730.0,756.7000122070312,756.6550903320312,9083,ABOU.TA,yfinance
