Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2020-06-08,8950.0,9099.0,8932.0,9087.0,9077.44921875,2089,AFRE.TA,yfinance
2020-06-09,9087.0,9078.0,8639.0,8959.0,8949.58203125,399,AFRE.TA,yfinance
2020-06-10,8959.0,9048.0,8259.0,8921.0,8911.6220703125,1163,AFRE.TA,yfinance
2020-06-11,8921.0,8834.0,8700.0,8783.0,8773.7666015625,1348,AFRE.TA,yfinance
2020-06-15,8553.0,8500.0,8000.0,8303.0,8294.2744140625,1391,AFRE.TA,yfinance
2020-06-16,8303.0,8880.0,8294.0,8652.0,8642.904296875,9052,AFRE.TA,yfinance
2020-06-17,8652.0,8812.0,8635.0,8685.0,8675.8701171875,6698,AFRE.TA,yfinance
2020-06-18,8685.0,8850.0,8500.0,8850.0,8840.697265625,3567,AFRE.TA,yfinance
2020-06-22,8667.0,8600.0,8400.0,8559.0,8550.00390625,2786,AFRE.TA,yfinance
2020-06-23,8559.0,9000.0,8410.0,9000.0,8990.5390625,7697,AFRE.TA,yfinance
2020-06-24,9000.0,9000.0,8554.0,8744.0,8734.80859375,3628,AFRE.TA,yfinance
2020-06-25,8744.0,8744.0,8300.0,8453.0,8444.11328125,22331,AFRE.TA,yfinance
2020-06-29,8368.0,8368.0,8097.0,8225.0,8216.3525390625,3786,AFRE.TA,yfinance
2020-06-30,8225.0,8642.0,8050.0,8510.0,8501.0556640625,29680,AFRE.TA,yfinance
2020-07-01,8510.0,8999.0,8650.0,8900.0,8890.64453125,7401,AFRE.TA,yfinance
2020-07-02,8900.0,9400.0,8900.0,9349.0,9339.171875,8461,AFRE.TA,yfinance
2020-07-06,9174.0,9250.0,9000.0,9185.0,9175.345703125,13170,AFRE.TA,yfinance
2020-07-07,9185.0,9250.0,8311.0,9151.0,9141.380859375,10442,AFRE.TA,yfinance
2020-07-08,9250.0,9250.0,8830.0,8970.0,8960.5703125,32222,AFRE.TA,yfinance
2020-07-09,8970.0,8970.0,8800.0,8968.0,8958.57421875,9656,AFRE.TA,yfinance
2020-07-13,9398.0,9847.0,9385.0,9737.0,9726.7646484375,16400,AFRE.TA,yfinance
2020-07-14,9746.0,9765.0,9610.0,9715.0,9704.7880859375,3280,AFRE.TA,yfinance
2020-07-15,9850.0,9999.0,9800.0,9975.0,9964.5166015625,6248,AFRE.TA,yfinance
2020-07-16,9901.0,10180.0,9875.0,10000.0,9989.4873046875,4209,AFRE.TA,yfinance
2020-07-20,10000.0,10500.0,9940.0,10040.0,10029.4462890625,12581,AFRE.TA,yfinance
2020-07-21,10040.0,10290.0,10000.0,10000.0,9989.4873046875,7762,AFRE.TA,yfinance
2020-07-22,10000.0,10100.0,9989.0,10000.0,9989.4873046875,3198,AFRE.TA,yfinance
2020-07-23,10000.0,10200.0,10000.0,10150.0,10139.3310546875,10435,AFRE.TA,yfinance
2020-07-27,10120.0,10290.0,10120.0,10140.0,10129.3427734375,8063,AFRE.TA,yfinance
2020-07-28,10240.0,10240.0,10040.0,10100.0,10089.3828125,4543,AFRE.TA,yfinance
2020-07-29,10100.0,10190.0,9948.0,10070.0,10059.4150390625,13877,AFRE.TA,yfinance
2020-08-03,10330.0,10500.0,10020.0,10060.0,10049.4248046875,16278,AFRE.TA,yfinance
2020-08-04,10160.0,10300.0,9913.0,9990.0,9979.5,22596,AFRE.TA,yfinance
2020-08-05,9990.0,10050.0,9969.0,9990.0,9979.5,8516,AFRE.TA,yfinance
2020-08-06,9990.0,9990.0,9700.0,9800.0,9789.6982421875,378565,AFRE.TA,yfinance
2020-08-10,9809.0,9824.0,9620.0,9824.0,9813.6748046875,9809,AFRE.TA,yfinance
2020-08-11,9824.0,10360.0,9785.0,10300.0,10289.173828125,24118,AFRE.TA,yfinance
2020-08-12,10300.0,10570.0,10130.0,10280.0,10269.1943359375,14444,AFRE.TA,yfinance
2020-08-13,10400.0,10400.0,9931.0,10040.0,10029.4462890625,13222,AFRE.TA,yfinance
2020-08-17,10150.0,10250.0,9800.0,10010.0,9999.4765625,3288,AFRE.TA,yfinance
2020-08-18,10010.0,10300.0,9730.0,10040.0,10029.4462890625,10192,AFRE.TA,yfinance
2020-08-19,10040.0,10500.0,9893.0,9923.0,9912.5703125,7212,AFRE.TA,yfinance
2020-08-20,9923.0,9999.0,9603.0,9959.0,9948.53125,10244,AFRE.TA,yfinance
2020-08-24,10750.0,10750.0,10210.0,10310.0,10299.1611328125,7715,AFRE.TA,yfinance
2020-08-25,10310.0,10490.0,10220.0,10350.0,10339.12109375,9954,AFRE.TA,yfinance
2020-08-26,10350.0,10580.0,10350.0,10440.0,10429.025390625,6162,AFRE.TA,yfinance
2020-08-27,10210.0,10570.0,10210.0,10250.0,10239.2275390625,8271,AFRE.TA,yfinance
2020-08-31,10260.0,10350.0,10160.0,10220.0,10209.2578125,8799,AFRE.TA,yfinance
2020-09-01,10220.0,10350.0,10220.0,10220.0,10209.2578125,10517,AFRE.TA,yfinance
2020-09-02,10220.0,10320.0,10220.0,10290.0,10279.18359375,4174,AFRE.TA,yfinance
2020-09-03,10480.0,10480.0,9700.0,9700.0,9689.8037109375,19426,AFRE.TA,yfinance
