Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2025-07-15,2025.0,2025.0,1930.0,2009.0,2009.0,33275,AGRD.TA,yfinance
2025-07-16,2034.0,2053.0,1980.0,2029.0,2029.0,87814,AGRD.TA,yfinance
2025-07-17,2029.0,2084.0,1903.0,1957.0,1957.0,3782,AGRD.TA,yfinance
2025-07-21,2090.0,2247.0,2045.0,2099.0,2099.0,245506,AGRD.TA,yfinance
2025-07-22,2140.0,2330.0,2133.0,2299.0,2299.0,99364,AGRD.TA,yfinance
2025-07-23,2350.0,2408.0,2275.0,2346.0,2346.0,115121,AGRD.TA,yfinance
2025-07-24,2335.0,2395.0,2299.0,2348.0,2348.0,58710,AGRD.TA,yfinance
2025-07-28,2348.0,2320.0,2130.0,2207.0,2207.0,45369,AGRD.TA,yfinance
2025-07-29,2261.0,2261.0,2000.0,2114.0,2114.0,40667,AGRD.TA,yfinance
2025-07-30,2256.0,2256.0,2100.0,2108.0,2108.0,9716,AGRD.TA,yfinance
2025-07-31,2100.0,2220.0,2050.0,2129.0,2129.0,8134,AGRD.TA,yfinance
2025-08-04,2200.0,2200.0,2150.0,2151.0,2151.0,3278,AGRD.TA,yfinance
2025-08-05,2204.0,2204.0,2082.0,2096.0,2096.0,12153,AGRD.TA,yfinance
2025-08-06,2200.0,2200.0,2022.0,2030.0,2030.0,11785,AGRD.TA,yfinance
2025-08-07,2138.0,2138.0,2000.0,2052.0,2052.0,7436,AGRD.TA,yfinance
2025-08-11,1861.0,1995.0,1850.0,1965.0,1965.0,35867,AGRD.TA,yfinance
2025-08-12,1965.0,1965.0,1813.0,1869.0,1869.0,14457,AGRD.TA,yfinance
2025-08-13,1869.0,1960.0,1819.0,1905.0,1905.0,13343,AGRD.TA,yfinance
2025-08-14,1905.0,1981.0,1899.0,1954.0,1954.0,16942,AGRD.TA,yfinance
2025-08-18,1910.0,1910.0,1760.0,1898.0,1898.0,10458,AGRD.TA,yfinance
2025-08-19,1965.0,1990.0,1935.0,1965.0,1965.0,31510,AGRD.TA,yfinance
2025-08-20,1990.0,2030.0,1989.0,2009.0,2009.0,17861,AGRD.TA,yfinance
2025-08-21,2000.0,2050.0,1959.0,1998.0,1998.0,9764,AGRD.TA,yfinance
2025-08-25,2036.0,2049.0,2025.0,2026.0,2026.0,31396,AGRD.TA,yfinance
2025-08-26,2035.0,2049.0,2029.0,2040.0,2040.0,15604,AGRD.TA,yfinance
2025-08-27,2040.0,2188.0,2072.0,2128.0,2128.0,63069,AGRD.TA,yfinance
2025-08-28,2194.0,2194.0,2050.0,2085.0,2085.0,8985,AGRD.TA,yfinance
2025-09-01,2015.0,1984.0,1822.0,1954.0,1954.0,60249,AGRD.TA,yfinance
2025-09-02,1920.0,1954.0,1860.0,1917.0,1917.0,25754,AGRD.TA,yfinance
2025-09-03,1917.0,1951.0,1833.0,1858.0,1858.0,36114,AGRD.TA,yfinance
2025-09-04,1858.0,1995.0,1848.0,1966.0,1966.0,9124,AGRD.TA,yfinance
2025-09-08,2085.0,2134.0,2084.0,2110.0,2110.0,39006,AGRD.TA,yfinance
2025-09-09,2149.0,2149.0,2111.0,2121.0,2121.0,22717,AGRD.TA,yfinance
2025-09-10,2148.0,2194.0,2147.0,2150.0,2150.0,52679,AGRD.TA,yfinance
2025-09-11,2194.0,2194.0,2046.0,2119.0,2119.0,3767,AGRD.TA,yfinance
