Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2025-05-29,1768.0,1792.0,1736.0,1760.0,1759.6903076171875,423436,INRM.TA,yfinance
2025-06-03,1751.0,1768.0,1702.0,1712.0,1711.698974609375,181972,INRM.TA,yfinance
2025-06-04,1718.0,1746.0,1670.0,1704.0,1703.7003173828125,209621,INRM.TA,yfinance
2025-06-05,1678.0,1736.0,1678.0,1712.0,1711.698974609375,186115,INRM.TA,yfinance
2025-06-09,1680.0,1690.0,1657.0,1689.0,1688.702880859375,108864,INRM.TA,yfinance
2025-06-10,1689.0,1689.0,1664.0,1673.0,1672.705810546875,82108,INRM.TA,yfinance
2025-06-11,1673.0,1690.0,1644.0,1677.0,1676.7049560546875,92143,INRM.TA,yfinance
2025-06-12,1621.0,1658.0,1620.0,1637.0,1636.7120361328125,231175,INRM.TA,yfinance
2025-06-16,1643.0,1855.0,1643.0,1840.0,1839.6763916015625,1185080,INRM.TA,yfinance
2025-06-17,1840.0,1889.0,1836.0,1883.0,1882.6688232421875,783268,INRM.TA,yfinance
2025-06-18,1912.0,1950.0,1886.0,1950.0,1949.6571044921875,371910,INRM.TA,yfinance
2025-06-19,1945.0,1976.0,1916.0,1957.0,1956.65576171875,422094,INRM.TA,yfinance
2025-06-23,2090.0,2104.0,1944.0,1957.0,1956.65576171875,573989,INRM.TA,yfinance
2025-06-24,1995.0,2030.0,1971.0,2021.0,2020.64453125,531825,INRM.TA,yfinance
2025-06-25,2027.0,2028.0,1991.0,2000.0,1999.6480712890625,428806,INRM.TA,yfinance
2025-06-26,1999.0,2074.0,1980.0,2035.0,2034.64208984375,440610,INRM.TA,yfinance
2025-06-30,2035.0,2144.0,2019.0,2100.0,2099.630615234375,757895,INRM.TA,yfinance
2025-07-01,2100.0,2215.0,2080.0,2181.0,2180.6162109375,710593,INRM.TA,yfinance
2025-07-02,2194.0,2314.0,2194.0,2288.0,2287.59765625,599267,INRM.TA,yfinance
2025-07-03,2288.0,2288.0,2288.0,2288.0,2287.59765625,0,INRM.TA,yfinance
2025-07-07,2299.0,2332.0,2190.0,2285.0,2284.59814453125,450353,INRM.TA,yfinance
2025-07-08,2298.0,2298.0,2223.0,2235.0,2234.60693359375,548696,INRM.TA,yfinance
2025-07-09,2234.0,2344.0,2234.0,2279.0,2278.59912109375,577389,INRM.TA,yfinance
2025-07-10,2287.0,2330.0,2263.0,2326.0,2325.5908203125,220091,INRM.TA,yfinance
2025-07-14,2225.0,2276.0,2205.0,2251.0,2250.604248046875,432546,INRM.TA,yfinance
2025-07-15,2251.0,2362.0,2251.0,2340.0,2339.58837890625,376297,INRM.TA,yfinance
2025-07-16,2340.0,2361.0,2260.0,2277.0,2276.599609375,296807,INRM.TA,yfinance
2025-07-17,2277.0,2340.0,2274.0,2290.0,2289.59716796875,506904,INRM.TA,yfinance
2025-07-21,2189.0,2310.0,2189.0,2279.0,2278.59912109375,326870,INRM.TA,yfinance
2025-07-22,2279.0,2300.0,2233.0,2244.0,2243.605224609375,337272,INRM.TA,yfinance
2025-07-23,2280.0,2280.0,2230.0,2256.0,2255.603271484375,222036,INRM.TA,yfinance
2025-07-24,2256.0,2294.0,2230.0,2230.0,2229.60791015625,273766,INRM.TA,yfinance
2025-07-28,2177.0,2196.0,2116.0,2134.0,2133.624755859375,380278,INRM.TA,yfinance
2025-07-29,2134.0,2154.0,2053.0,2057.0,2056.63818359375,415768,INRM.TA,yfinance
2025-07-30,2057.0,2065.0,1986.0,1989.0,1988.650146484375,272605,INRM.TA,yfinance
2025-07-31,2010.0,2019.0,1956.0,1989.0,1988.650146484375,270763,INRM.TA,yfinance
2025-08-04,1951.0,1972.0,1918.0,1930.0,1929.66064453125,387881,INRM.TA,yfinance
2025-08-05,1930.0,1955.0,1840.0,1858.0,1857.67333984375,502995,INRM.TA,yfinance
2025-08-06,1858.0,1882.0,1834.0,1834.0,1833.6773681640625,331554,INRM.TA,yfinance
2025-08-07,1839.0,1880.0,1804.0,1815.0,1814.6807861328125,3067145,INRM.TA,yfinance
2025-08-11,1950.0,1989.0,1882.0,1978.0,1977.652099609375,566241,INRM.TA,yfinance
2025-08-12,1978.0,1991.0,1900.0,1913.0,1912.66357421875,356913,INRM.TA,yfinance
2025-08-13,1922.0,1992.0,1911.0,1975.0,1974.6527099609375,393912,INRM.TA,yfinance
2025-08-14,1975.0,2038.0,1943.0,1985.0,1984.65087890625,383025,INRM.TA,yfinance
2025-08-18,2058.0,2060.0,2014.0,2014.0,2013.645751953125,279945,INRM.TA,yfinance
2025-08-19,2014.0,2097.0,2006.0,2091.0,2090.632080078125,577463,INRM.TA,yfinance
2025-08-20,2075.0,2118.0,2031.0,2031.0,2030.642822265625,388543,INRM.TA,yfinance
2025-08-21,2050.0,2092.0,2026.0,2043.0,2042.640625,535257,INRM.TA,yfinance
2025-08-25,2166.0,2169.0,2068.0,2080.0,2079.63427734375,398862,INRM.TA,yfinance
2025-08-26,2116.0,2124.0,2052.0,2084.0,2083.633544921875,3390526,INRM.TA,yfinance
2025-08-27,2084.0,2107.0,2064.0,2079.0,2078.63427734375,356277,INRM.TA,yfinance
