Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2020-06-01,918.0,930.9000244140625,912.0,923.0,922.3768310546875,796507,ISCD.TA,yfinance
2020-06-02,927.9000244140625,944.5,927.7000122070312,937.5,936.8670043945312,651707,ISCD.TA,yfinance
2020-06-03,937.5,950.0999755859375,915.0,924.2999877929688,923.6759643554688,312231,ISCD.TA,yfinance
2020-06-04,918.0,924.2000122070312,870.0,870.0,869.41259765625,1898345,ISCD.TA,yfinance
2020-06-08,870.0,875.0,843.4000244140625,844.0,843.43017578125,2086275,ISCD.TA,yfinance
2020-06-09,850.0,875.0,850.0,869.4000244140625,868.8130493164062,949764,ISCD.TA,yfinance
2020-06-10,877.7999877929688,914.0,877.7999877929688,910.0,909.3856201171875,749794,ISCD.TA,yfinance
2020-06-11,895.0,900.9000244140625,873.9000244140625,873.9000244140625,873.31005859375,451692,ISCD.TA,yfinance
2020-06-15,851.0,860.0,840.0,857.0999755859375,856.5213012695312,444610,ISCD.TA,yfinance
2020-06-16,867.0,888.5999755859375,867.0,876.0999755859375,875.5084228515625,492475,ISCD.TA,yfinance
2020-06-17,880.0,896.0,862.0,862.0,861.4180297851562,368560,ISCD.TA,yfinance
2020-06-18,862.0,876.2000122070312,842.0999755859375,853.0,852.4241333007812,450019,ISCD.TA,yfinance
2020-06-22,830.0,840.0,803.0,804.2999877929688,803.7570190429688,680525,ISCD.TA,yfinance
2020-06-23,804.2999877929688,818.0,765.0,767.9000244140625,767.3815307617188,1390357,ISCD.TA,yfinance
2020-06-24,770.0,780.9000244140625,754.2999877929688,766.0,765.4828491210938,675890,ISCD.TA,yfinance
2020-06-25,766.0,804.4000244140625,760.0,802.7999877929688,802.2579956054688,786215,ISCD.TA,yfinance
2020-06-29,784.0,823.0,780.0,814.0999755859375,813.5504150390625,631448,ISCD.TA,yfinance
2020-06-30,820.0,824.0999755859375,781.7999877929688,786.2000122070312,785.6692504882812,742425,ISCD.TA,yfinance
2020-07-01,786.5999755859375,810.0999755859375,777.0999755859375,804.0,803.4571533203125,626972,ISCD.TA,yfinance
2020-07-02,807.0,817.9000244140625,806.0,808.2000122070312,807.6544189453125,1070723,ISCD.TA,yfinance
2020-07-06,776.0,784.0999755859375,748.0999755859375,750.0,749.4935913085938,927649,ISCD.TA,yfinance
2020-07-07,752.5,757.0,734.0,741.9000244140625,741.399169921875,878177,ISCD.TA,yfinance
2020-07-08,738.5,765.0,733.0,755.0999755859375,754.5902099609375,1061865,ISCD.TA,yfinance
2020-07-09,755.0999755859375,796.7000122070312,755.0999755859375,790.0,789.4666137695312,1317541,ISCD.TA,yfinance
2020-07-13,805.0,841.0,801.0,812.0,811.4517822265625,1332141,ISCD.TA,yfinance
2020-07-14,812.0,813.0,793.2000122070312,810.0,809.4531860351562,810605,ISCD.TA,yfinance
2020-07-15,800.0,833.7000122070312,800.0,832.0999755859375,831.5382080078125,781017,ISCD.TA,yfinance
2020-07-16,832.2999877929688,859.0,815.4000244140625,852.5,851.9244995117188,1377603,ISCD.TA,yfinance
2020-07-20,841.0,853.2000122070312,835.0,850.0,849.4260864257812,749362,ISCD.TA,yfinance
2020-07-21,850.0,864.9000244140625,840.0,841.0,840.43212890625,676785,ISCD.TA,yfinance
2020-07-22,848.0,848.0,814.0,814.9000244140625,814.3499145507812,371324,ISCD.TA,yfinance
2020-07-23,811.5,823.0,797.0,800.0,799.4598388671875,538037,ISCD.TA,yfinance
2020-07-27,793.0,803.9000244140625,785.0,796.4000244140625,795.8623657226562,323455,ISCD.TA,yfinance
2020-07-28,791.2000122070312,809.0,784.0,791.0,790.4659423828125,214374,ISCD.TA,yfinance
2020-07-29,771.0999755859375,792.0,771.0999755859375,785.7999877929688,785.2694702148438,1130749,ISCD.TA,yfinance
2020-08-03,802.0,821.0,802.0,814.4000244140625,813.8501586914062,521731,ISCD.TA,yfinance
2020-08-04,808.0,847.0,806.2999877929688,847.0,846.4281616210938,617526,ISCD.TA,yfinance
2020-08-05,853.0,888.0,853.0,888.0,887.4004516601562,879903,ISCD.TA,yfinance
2020-08-06,888.0,914.0,875.2999877929688,894.9000244140625,894.2958984375,1525584,ISCD.TA,yfinance
2020-08-10,885.0,890.0,877.9000244140625,877.9000244140625,877.3073120117188,261383,ISCD.TA,yfinance
2020-08-11,871.0,903.2999877929688,871.0,890.0,889.399169921875,541171,ISCD.TA,yfinance
2020-08-12,921.0,961.0,912.0,952.0,951.3572998046875,1795294,ISCD.TA,yfinance
2020-08-13,951.2999877929688,953.7000122070312,938.0,947.7000122070312,947.0601196289062,532264,ISCD.TA,yfinance
2020-08-17,976.5999755859375,984.7999877929688,960.0,968.0,967.3464965820312,496752,ISCD.TA,yfinance
2020-08-18,977.0,977.0,940.0,942.7999877929688,942.163330078125,540973,ISCD.TA,yfinance
2020-08-19,943.0999755859375,951.0,934.4000244140625,937.0,936.3673706054688,346257,ISCD.TA,yfinance
2020-08-20,937.0,937.0,905.2000122070312,923.0,922.3768310546875,476781,ISCD.TA,yfinance
2020-08-24,916.0,929.7999877929688,902.4000244140625,923.0,922.3768310546875,438735,ISCD.TA,yfinance
2020-08-25,930.0,937.0999755859375,925.0,925.0,924.37548828125,221453,ISCD.TA,yfinance
2020-08-26,923.0,959.9000244140625,923.0,957.9000244140625,957.2532348632812,290927,ISCD.TA,yfinance
2020-08-27,950.2999877929688,958.0,939.0999755859375,943.2999877929688,942.6630859375,316695,ISCD.TA,yfinance
