Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2020-05-25,3998.0,3601.0,3601.0,3667.0,3667.0,43,SADE.TA,yfinance
2020-05-26,3667.0,3667.0,3667.0,3667.0,3667.0,0,SADE.TA,yfinance
2020-05-27,3667.0,3667.0,3667.0,3667.0,3667.0,0,SADE.TA,yfinance
2020-06-01,3667.0,3830.0,3300.0,3516.0,3516.0,135,SADE.TA,yfinance
2020-06-02,3819.0,3819.0,3620.0,3711.0,3711.0,242,SADE.TA,yfinance
2020-06-03,3840.0,3840.0,3790.0,3798.0,3798.0,83,SADE.TA,yfinance
2020-06-04,3798.0,3798.0,3798.0,3798.0,3798.0,0,SADE.TA,yfinance
2020-06-08,3500.0,3750.0,3400.0,3583.0,3583.0,333,SADE.TA,yfinance
2020-06-09,3583.0,3580.0,3401.0,3459.0,3459.0,379,SADE.TA,yfinance
2020-06-10,3400.0,3400.0,3400.0,3400.0,3400.0,282,SADE.TA,yfinance
2020-06-11,3599.0,3599.0,3061.0,3370.0,3370.0,448,SADE.TA,yfinance
2020-06-15,3370.0,3350.0,3350.0,3350.0,3350.0,139,SADE.TA,yfinance
2020-06-16,3350.0,3350.0,3350.0,3350.0,3350.0,0,SADE.TA,yfinance
2020-06-17,3350.0,3190.0,2521.0,2953.0,2953.0,781,SADE.TA,yfinance
2020-06-18,2890.0,2890.0,2890.0,2890.0,2890.0,120,SADE.TA,yfinance
2020-06-22,2970.0,2970.0,2970.0,2970.0,2970.0,0,SADE.TA,yfinance
2020-06-23,2970.0,2970.0,2970.0,2970.0,2970.0,0,SADE.TA,yfinance
2020-06-24,2970.0,2750.0,2699.0,2708.0,2708.0,604,SADE.TA,yfinance
2020-06-25,2708.0,2930.0,2600.0,2789.0,2789.0,331,SADE.TA,yfinance
2020-06-29,2789.0,2500.0,2500.0,2500.0,2500.0,100,SADE.TA,yfinance
2020-06-30,2500.0,2650.0,2062.0,2316.0,2316.0,792,SADE.TA,yfinance
2020-07-01,2316.0,2400.0,2040.0,2194.0,2194.0,586,SADE.TA,yfinance
2020-07-02,2194.0,2194.0,2100.0,2100.0,2100.0,97,SADE.TA,yfinance
2020-07-06,2220.0,2220.0,2200.0,2200.0,2200.0,286,SADE.TA,yfinance
2020-07-07,2200.0,2220.0,2220.0,2220.0,2220.0,150,SADE.TA,yfinance
2020-07-08,2220.0,2220.0,2220.0,2220.0,2220.0,0,SADE.TA,yfinance
2020-07-09,2220.0,2220.0,2220.0,2220.0,2220.0,0,SADE.TA,yfinance
2020-07-13,2200.0,2200.0,2170.0,2170.0,2170.0,266,SADE.TA,yfinance
2020-07-14,2170.0,2170.0,2170.0,2170.0,2170.0,0,SADE.TA,yfinance
2020-07-15,2170.0,2169.0,2000.0,2159.0,2159.0,146,SADE.TA,yfinance
2020-07-16,2159.0,2090.0,2050.0,2059.0,2059.0,1457,SADE.TA,yfinance
2020-07-20,2779.0,6050.0,2779.0,4405.0,4405.0,94165,SADE.TA,yfinance
2020-07-21,4601.0,4700.0,3850.0,4017.0,4017.0,22491,SADE.TA,yfinance
2020-07-22,4000.0,4960.0,4000.0,4847.0,4847.0,23877,SADE.TA,yfinance
2020-07-23,4733.0,4900.0,4170.0,4575.0,4575.0,19235,SADE.TA,yfinance
2020-07-27,4230.0,4500.0,3900.0,4205.0,4205.0,14920,SADE.TA,yfinance
2020-07-28,4430.0,4450.0,4000.0,4066.0,4066.0,6393,SADE.TA,yfinance
2020-07-29,4066.0,3952.0,3950.0,3951.0,3951.0,709,SADE.TA,yfinance
2020-08-03,3602.0,3630.0,3120.0,3275.0,3275.0,4679,SADE.TA,yfinance
2020-08-04,3101.0,3790.0,3100.0,3640.0,3640.0,7083,SADE.TA,yfinance
2020-08-05,3640.0,3650.0,3480.0,3568.0,3568.0,1110,SADE.TA,yfinance
2020-08-06,3568.0,3400.0,3260.0,3310.0,3310.0,2818,SADE.TA,yfinance
2020-08-10,3401.0,3650.0,3310.0,3470.0,3470.0,794,SADE.TA,yfinance
2020-08-11,3680.0,3680.0,3470.0,3493.0,3493.0,265,SADE.TA,yfinance
2020-08-12,3493.0,3450.0,3124.0,3439.0,3439.0,351,SADE.TA,yfinance
2020-08-13,3489.0,3520.0,3350.0,3434.0,3434.0,1068,SADE.TA,yfinance
2020-08-17,3444.0,3444.0,3444.0,3444.0,3444.0,0,SADE.TA,yfinance
2020-08-18,3444.0,3500.0,3350.0,3490.0,3490.0,61,SADE.TA,yfinance
2020-08-19,3490.0,3570.0,3350.0,3419.0,3419.0,741,SADE.TA,yfinance
2020-08-20,3419.0,3520.0,3500.0,3505.0,3505.0,801,SADE.TA,yfinance
