Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2025-12-01,1442.0,1442.0,1442.0,1442.0,1442.0,240,TMIS.TA,yfinance
2025-12-02,1442.0,1422.0,1336.0,1372.0,1372.0,1256,TMIS.TA,yfinance
2025-12-03,1372.0,1372.0,1372.0,1372.0,1372.0,0,TMIS.TA,yfinance
2025-12-04,1372.0,1316.0,1250.0,1277.0,1277.0,2099,TMIS.TA,yfinance
2025-12-08,1243.0,1269.0,1244.0,1249.0,1249.0,182,TMIS.TA,yfinance
2025-12-09,1277.0,1277.0,1276.0,1277.0,1277.0,548,TMIS.TA,yfinance
2025-12-10,1277.0,1316.0,1275.0,1288.0,1288.0,557,TMIS.TA,yfinance
2025-12-11,1288.0,1300.0,1288.0,1290.0,1290.0,1578,TMIS.TA,yfinance
2025-12-15,1290.0,1262.0,1261.0,1261.0,1261.0,435,TMIS.TA,yfinance
2025-12-16,1261.0,1317.0,1261.0,1268.0,1268.0,550,TMIS.TA,yfinance
2025-12-17,1268.0,1348.0,1295.0,1329.0,1329.0,1460,TMIS.TA,yfinance
2025-12-18,1329.0,1448.0,1300.0,1351.0,1351.0,1294,TMIS.TA,yfinance
2025-12-22,1417.0,1417.0,1386.0,1409.0,1409.0,1720,TMIS.TA,yfinance
2025-12-23,1440.0,1440.0,1408.0,1437.0,1437.0,416,TMIS.TA,yfinance
2025-12-24,1437.0,1445.0,1405.0,1409.0,1409.0,335,TMIS.TA,yfinance
2025-12-25,1409.0,1399.0,1364.0,1378.0,1378.0,501,TMIS.TA,yfinance
2025-12-29,1314.0,1307.0,1201.0,1261.0,1261.0,3616,TMIS.TA,yfinance
2025-12-30,1261.0,1260.0,1187.0,1235.0,1235.0,4037,TMIS.TA,yfinance
2025-12-31,1235.0,1234.0,1173.0,1208.0,1208.0,3523,TMIS.TA,yfinance
2026-01-01,1208.0,1253.0,1208.0,1233.0,1233.0,1914,TMIS.TA,yfinance
2026-01-05,1233.0,1300.0,1233.0,1240.0,1240.0,776,TMIS.TA,yfinance
2026-01-06,1240.0,1327.0,1234.0,1242.0,1242.0,1100,TMIS.TA,yfinance
2026-01-07,1242.0,1300.0,1268.0,1261.0,1261.0,101,TMIS.TA,yfinance
2026-01-08,1261.0,1337.0,1150.0,1208.0,1208.0,9930,TMIS.TA,yfinance
2026-01-09,1220.0,1299.0,1115.0,1171.0,1171.0,1295,TMIS.TA,yfinance
2026-01-12,1140.0,1175.0,1120.0,1156.0,1156.0,4108,TMIS.TA,yfinance
2026-01-13,1179.0,1229.0,1172.0,1178.0,1178.0,7740,TMIS.TA,yfinance
2026-01-14,1178.0,1284.0,1184.0,1229.0,1229.0,2662,TMIS.TA,yfinance
2026-01-15,1229.0,1301.0,1235.0,1268.0,1268.0,1533,TMIS.TA,yfinance
2026-01-16,1268.0,1268.0,1268.0,1268.0,1268.0,112,TMIS.TA,yfinance
2026-01-19,1268.0,1260.0,1179.0,1219.0,1219.0,1079,TMIS.TA,yfinance
2026-01-20,1219.0,1220.0,1097.0,1165.0,1165.0,1106,TMIS.TA,yfinance
2026-01-21,1165.0,1268.0,1164.0,1225.0,1225.0,3177,TMIS.TA,yfinance
