company_name_original,company_name_normalized,company_name_search_key,yahoo_ticker,google_finance_symbol,tase_security_id,isin,yahoo_ticker_candidate,google_finance_symbol_candidate,google_search_url,maya_search_url,tase_search_url,bizportal_search_url,investing_search_url,globes_search_url,maya_company_url,tase_company_url,bizportal_url,investing_url,mapping_status,mapping_confidence,mapping_method,mapping_notes,needs_manual_review
א. לוי השקעות,א. לוי השקעות,א לוי השקעות,LEVA.TA,TLV:LEVA,,,,,https://www.google.com/search?q=%D7%90.+%D7%9C%D7%95%D7%99+%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90.+%D7%9C%D7%95%D7%99+%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90.+%D7%9C%D7%95%D7%99+%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90.+%D7%9C%D7%95%D7%99+%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90.+%D7%9C%D7%95%D7%99+%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA+Investing.com,https://www.google.com/search?q=%D7%90.+%D7%9C%D7%95%D7%99+%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
אבו מגורים,אבו מגורים,אבו מגורים,ABOU.TA,TLV:ABOU,01175819,,,,https://www.google.com/search?q=%D7%90%D7%91%D7%95+%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%91%D7%95+%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%91%D7%95+%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%91%D7%95+%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%91%D7%95+%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D+Investing.com,https://www.google.com/search?q=%D7%90%D7%91%D7%95+%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
אגוד הנפקות,אגוד הנפקות,אגוד הנפקות,,,,,,,https://www.google.com/search?q=%D7%90%D7%92%D7%95%D7%93+%D7%94%D7%A0%D7%A4%D7%A7%D7%95%D7%AA+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%92%D7%95%D7%93+%D7%94%D7%A0%D7%A4%D7%A7%D7%95%D7%AA+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%92%D7%95%D7%93+%D7%94%D7%A0%D7%A4%D7%A7%D7%95%D7%AA+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%92%D7%95%D7%93+%D7%94%D7%A0%D7%A4%D7%A7%D7%95%D7%AA+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%92%D7%95%D7%93+%D7%94%D7%A0%D7%A4%D7%A7%D7%95%D7%AA+Investing.com,https://www.google.com/search?q=%D7%90%D7%92%D7%95%D7%93+%D7%94%D7%A0%D7%A4%D7%A7%D7%95%D7%AA+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,PENDING_MANUAL_REVIEW,UNKNOWN,,Identifier verification required before price extraction.,True
אוברסיז,אוברסיז,אוברסיז,OVRS.TA,TLV:OVRS,01139617,,,,https://www.google.com/search?q=%D7%90%D7%95%D7%91%D7%A8%D7%A1%D7%99%D7%96+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%95%D7%91%D7%A8%D7%A1%D7%99%D7%96+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%95%D7%91%D7%A8%D7%A1%D7%99%D7%96+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%95%D7%91%D7%A8%D7%A1%D7%99%D7%96+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%95%D7%91%D7%A8%D7%A1%D7%99%D7%96+Investing.com,https://www.google.com/search?q=%D7%90%D7%95%D7%91%D7%A8%D7%A1%D7%99%D7%96+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
אוטונומוס,אוטונומוס,אוטונומוס,AGRD.TA,TLV:AGRD,01083419,,,,https://www.google.com/search?q=%D7%90%D7%95%D7%98%D7%95%D7%A0%D7%95%D7%9E%D7%95%D7%A1+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%95%D7%98%D7%95%D7%A0%D7%95%D7%9E%D7%95%D7%A1+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%95%D7%98%D7%95%D7%A0%D7%95%D7%9E%D7%95%D7%A1+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%95%D7%98%D7%95%D7%A0%D7%95%D7%9E%D7%95%D7%A1+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%95%D7%98%D7%95%D7%A0%D7%95%D7%9E%D7%95%D7%A1+Investing.com,https://www.google.com/search?q=%D7%90%D7%95%D7%98%D7%95%D7%A0%D7%95%D7%9E%D7%95%D7%A1+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
איי ארגנטו,איי ארגנטו,איי ארגנטו,IARG.TA,TLV:IARG,01173343,,,,https://www.google.com/search?q=%D7%90%D7%99%D7%99+%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%95+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%99%D7%99+%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%95+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%99%D7%99+%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%95+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%99%D7%99+%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%95+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%99%D7%99+%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%95+Investing.com,https://www.google.com/search?q=%D7%90%D7%99%D7%99+%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%95+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
אימקו,אימקו,אימקו,IMCO.TA,TLV:IMCO,,IL0002820129,,,https://www.google.com/search?q=%D7%90%D7%99%D7%9E%D7%A7%D7%95+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%99%D7%9E%D7%A7%D7%95+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%99%D7%9E%D7%A7%D7%95+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%99%D7%9E%D7%A7%D7%95+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%99%D7%9E%D7%A7%D7%95+Investing.com,https://www.google.com/search?q=%D7%90%D7%99%D7%9E%D7%A7%D7%95+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
אינרום בניה,אינרום בניה,אינרום בניה,INRM.TA,TLV:INRM,01132356,,,,https://www.google.com/search?q=%D7%90%D7%99%D7%A0%D7%A8%D7%95%D7%9D+%D7%91%D7%A0%D7%99%D7%94+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%99%D7%A0%D7%A8%D7%95%D7%9D+%D7%91%D7%A0%D7%99%D7%94+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%99%D7%A0%D7%A8%D7%95%D7%9D+%D7%91%D7%A0%D7%99%D7%94+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%99%D7%A0%D7%A8%D7%95%D7%9D+%D7%91%D7%A0%D7%99%D7%94+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%99%D7%A0%D7%A8%D7%95%D7%9D+%D7%91%D7%A0%D7%99%D7%94+Investing.com,https://www.google.com/search?q=%D7%90%D7%99%D7%A0%D7%A8%D7%95%D7%9D+%D7%91%D7%A0%D7%99%D7%94+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
"אלקטרה נדל""ן","אלקטרה נדל""ן",אלקטרה נדל ן,ELCRE.TA,TLV:ELCRE,01094044,,,,https://www.google.com/search?q=%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94+%D7%A0%D7%93%D7%9C%22%D7%9F+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94+%D7%A0%D7%93%D7%9C%22%D7%9F+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94+%D7%A0%D7%93%D7%9C%22%D7%9F+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94+%D7%A0%D7%93%D7%9C%22%D7%9F+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94+%D7%A0%D7%93%D7%9C%22%D7%9F+Investing.com,https://www.google.com/search?q=%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94+%D7%A0%D7%93%D7%9C%22%D7%9F+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
"אמיליה פיתוח )מ.עו.פ.( בע""מ","אמיליה פיתוח )מ.עו.פ.( בע""מ",אמיליה פיתוח מ עו פ,EMDV.TA,TLV:EMDV,,,,,https://www.google.com/search?q=%D7%90%D7%9E%D7%99%D7%9C%D7%99%D7%94+%D7%A4%D7%99%D7%AA%D7%95%D7%97+%29%D7%9E.%D7%A2%D7%95.%D7%A4.%28+%D7%91%D7%A2%22%D7%9E+%D7%9E%D7%A0%D7%99%D7%94+%D7%9E%D7%90%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%9E%D7%99%D7%9C%D7%99%D7%94+%D7%A4%D7%99%D7%AA%D7%95%D7%97+%29%D7%9E.%D7%A2%D7%95.%D7%A4.%28+%D7%91%D7%A2%22%D7%9E+site%3Amaya.tase.co.il,https://www.google.com/search?q=%D7%90%D7%9E%D7%99%D7%9C%D7%99%D7%94+%D7%A4%D7%99%D7%AA%D7%95%D7%97+%29%D7%9E.%D7%A2%D7%95.%D7%A4.%28+%D7%91%D7%A2%22%D7%9E+%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%A0%D7%99%D7%99%D7%A8+%D7%A2%D7%A8%D7%9A,https://www.google.com/search?q=%D7%90%D7%9E%D7%99%D7%9C%D7%99%D7%94+%D7%A4%D7%99%D7%AA%D7%95%D7%97+%29%D7%9E.%D7%A2%D7%95.%D7%A4.%28+%D7%91%D7%A2%22%D7%9E+%D7%91%D7%99%D7%96%D7%A4%D7%95%D7%A8%D7%98%D7%9C+%D7%9E%D7%A0%D7%99%D7%94,https://www.google.com/search?q=%D7%90%D7%9E%D7%99%D7%9C%D7%99%D7%94+%D7%A4%D7%99%D7%AA%D7%95%D7%97+%29%D7%9E.%D7%A2%D7%95.%D7%A4.%28+%D7%91%D7%A2%22%D7%9E+Investing.com,https://www.google.com/search?q=%D7%90%D7%9E%D7%99%D7%9C%D7%99%D7%94+%D7%A4%D7%99%D7%AA%D7%95%D7%97+%29%D7%9E.%D7%A2%D7%95.%D7%A4.%28+%D7%91%D7%A2%22%D7%9E+%D7%92%D7%9C%D7%95%D7%91%D7%A1+%D7%9E%D7%A0%D7%99%D7%94,,,,,MAPPED_MANUALLY,HIGH,MANUAL,Identifier verification required before price extraction.,False
