event_id,company_name,switch_type,event_date_basis,event_date,yahoo_ticker,google_finance_symbol,tase_security_id,isin,mapping_status,mapping_confidence,event_is_future,price_extraction_eligibility,price_status,price_notes,stock_t_minus_5_date,stock_event_trading_date,stock_t_plus_5_date,stock_price_t_minus_5,stock_price_event,stock_price_t_plus_5,stock_price_source,market_index_ticker,market_t_minus_5_date,market_event_trading_date,market_t_plus_5_date,ta125_price_t_minus_5,ta125_price_event,ta125_price_t_plus_5,market_price_source,market_price_status,market_price_notes,stock_price_rows_available,market_price_rows_available,extraction_timestamp
1,אבו מגורים,Small to Small,auditor_switch_date,2025-11-16,ABOU.TA,TLV:ABOU,1175819.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,NOT_ENOUGH_TRADING_DAYS_BEFORE,Need 5 trading days before event trading date.,,2025-11-17,,,800.0,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,21,1360,2026-05-27T12:18:24.769552+00:00
2,גלובל פיי-ש,Small to Small,auditor_switch_date,2025-02-19,GKL.TA,TLV:GKL,1141316.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-02-11,2025-02-19,2025-02-27,85.4000015258789,83.80000305175781,79.5,yfinance,^TA125.TA,2025-02-11,2025-02-19,2025-02-27,2568.449951171875,2602.6298828125,2542.52001953125,yfinance,OK,,52,1360,2026-05-27T12:18:24.769552+00:00
3,"אמיליה פיתוח )מ.עו.פ.( בע""מ",Small to Small,auditor_switch_date,2026-02-17,EMDV.TA,TLV:EMDV,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2026-02-10,2026-02-17,2026-02-24,2862.0,2898.0,2884.0,yfinance,^TA125.TA,2026-02-10,2026-02-17,2026-02-24,4161.8701171875,4168.1201171875,4116.35009765625,yfinance,OK,,62,1360,2026-05-27T12:18:24.769552+00:00
4,"שדה נדל""ן",Small to Small,auditor_switch_date,2024-05-03,SADE.TA,TLV:SADE,,IL0003410169,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-04-24,2024-05-06,2024-05-16,270.0,271.0,270.0,yfinance,^TA125.TA,2024-04-24,2024-05-06,2024-05-16,1962.22998046875,1966.8299560546875,1997.0,yfinance,OK,,804,1360,2026-05-27T12:18:24.769552+00:00
5,ספידווליו,Big to Small,auditor_switch_date,2025-08-24,SPDV.TA,TLV:SPDV,1178284.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-08-14,2025-08-25,2025-09-02,333.0,347.0,350.0,yfinance,^TA125.TA,2025-08-14,2025-08-25,2025-09-02,3032.2900390625,3115.330078125,3050.760009765625,yfinance,OK,,45,1360,2026-05-27T12:18:24.769552+00:00
6,הום ביוגז,Big to Small,auditor_switch_date,2024-07-17,HMGS.TA,TLV:HMGS,1172204.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-07-09,2024-07-17,2024-07-25,166.3000030517578,162.89999389648438,144.6999969482422,yfinance,^TA125.TA,2024-07-09,2024-07-17,2024-07-25,2038.469970703125,2053.6298828125,2049.989990234375,yfinance,OK,,49,1360,2026-05-27T12:18:24.769552+00:00
7,טוגדר,Small to Small,auditor_switch_date,2025-07-28,TGTR.TA,TLV:TGTR,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-07-17,2025-07-28,2025-08-05,372.3999938964844,362.8999938964844,393.6000061035156,yfinance,^TA125.TA,2025-07-17,2025-07-28,2025-08-05,3086.580078125,3108.429931640625,3002.409912109375,yfinance,OK,,52,1360,2026-05-27T12:18:24.769552+00:00
8,אספן גרופ,Small to Small,auditor_switch_date,2026-05-24,ASGR.TA,TLV:ASGR,313015.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,NOT_ENOUGH_TRADING_DAYS_AFTER,Need 5 trading days after event trading date.,,2026-05-25,,,739.5,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,35,1360,2026-05-27T12:18:24.769552+00:00
9,ג׳נסל בע״מ,Big to Small,auditor_switch_date,2026-07-05,GNCL.TA,TLV:GNCL,1169689.0,,MAPPED_MANUALLY,HIGH,True,FUTURE_EVENT_DATE,FUTURE_EVENT_DATE,Future event; historical price extraction skipped.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
10,נופר אנרג׳י,Small to Small,auditor_switch_date,2026-07-05,NOFR.TA,TLV:NOFR,1170877.0,,MAPPED_MANUALLY,HIGH,True,FUTURE_EVENT_DATE,FUTURE_EVENT_DATE,Future event; historical price extraction skipped.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
