company_name,suggested_ticker,yahoo_ticker,google_finance_symbol,tase_security_id,isin,mapping_status,mapping_notes
א. לוי השקעות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אבו מגורים,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אגוד הנפקות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אוברסיז,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אוטונומוס,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
איי ארגנטו,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אימקו,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אינרום בניה,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
"אלקטרה נדל""ן",,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
"אמיליה פיתוח )מ.עו.פ.( בע""מ",,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אספן גרופ,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אפי נכסים,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אפריקה מגורים,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
אקסיליון,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
בוני תיכון,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ביולייט,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
בליץ,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ברנד,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ברק בית השקעות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
גלובל פיי-ש,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ג׳נסל בע״מ,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
דורסל,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
הום ביוגז,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ווליו פ2פ,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
חג׳ג׳ אירופה,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
טוגדר,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ישראייר גרופ,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ישראכרט,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ישראל קנדה מלונות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
לאומי,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
לפידות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
מטריקס,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
מיטק,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
מיי טאון,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
מלם-תים אחזקות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
מנדלסון תשתיות,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
מנרב,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
נופר אנרג׳י,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
"נקסט ג'ן ביומד בע""מ",,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
נקסטייג׳,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
ספידווליו,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
פסיירקס ביוטק,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
פרידנזון,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
"שדה נדל""ן",,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
שוהם ביזנס,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
שירותי בנק אוטו,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
תמיס,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
תמר פטרוליום,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
תעוזה,,,,,,PENDING_MANUAL_OR_AUTOMATIC_MAPPING,
