company_name,switch_type,event_date,yahoo_ticker,stock_return_pct,ta125_return_pct,market_adjusted_return_pct,reaction_direction
אקסיליון,Small to Small,2020-09-08,AILN.TA,-99.20578125,-4.709471722865932,-94.49630952713407,Negative
איי ארגנטו,Small to Big,2024-02-11,IARG.TA,-19.857769390452283,4.583335671415112,-24.441105061867397,Negative
ביולייט,Big to Small,2019-11-10,BOLT.TA,-15.662002152852528,1.2110487339025422,-16.87305088675507,Negative
ברק בית השקעות,Small to Big,2020-03-17,BARI.TA,-34.778191669488656,-19.47119280787114,-15.306998861617515,Negative
הום ביוגז,Big to Small,2024-07-17,HMGS.TA,-12.988578296533781,0.5651306959050473,-13.553708992438828,Negative
תעוזה,Small to Small,2020-01-28,TUZA.TA,-13.646058246602522,-0.30383358829678686,-13.342224658305735,Negative
פרידנזון,Small to Big,2020-05-14,FRDN.TA,-7.575208408843781,2.5504567932020494,-10.12566520204583,Negative
תמר פטרוליום,Small to Small,2026-03-31,TMRP.TA,-5.888919899525535,2.4604143686934643,-8.349334268219,Negative
תמיס,Small to Small,2026-01-12,TMIS.TA,-1.6935483870967771,5.104955775024056,-6.7985041621208335,Negative
אוטונומוס,Big to Small,2025-07-30,AGRD.TA,-10.743801652892559,-4.128700207065883,-6.615101445826676,Negative
