metric,value
total_event_rows,50
rows_ok,36
rows_future_event_date,2
rows_missing_ticker,5
rows_invalid_event_date,0
rows_ticker_validation_failed,5
rows_missing_stock_price_data,0
rows_missing_market_price_data,0
rows_not_enough_trading_days_before,1
rows_not_enough_trading_days_after,1
rows_unknown_error,0
unique_tickers_total,44
unique_tickers_validated_ok,37
unique_tickers_failed_validation,5
market_index_ticker,^TA125.TA
market_index_status,OK
market_index_notes,OK
price_source,yfinance
yfinance_available,True
cache_files_created_or_used,38
extraction_run_timestamp,2026-05-27T12:18:24.769552+00:00
